Model,Feature,Selection frequency
Model 5 — ROI1,ROI1_Primerorden-Percentil10-Valor,1.0
Model 5 — ROI1,ROI1_GLRLM-Varianzadelosnivelesdegris-Valor,1.0
Model 5 — ROI1,ROI1_GLSZM-Nouniformidaddelazona-Valor,1.0
Model 5 — ROI1,ROI1_GLSZM-Énfasisdeláreapequeñadenivelesdegrisaltos-Valor,1.0
Model 5 — ROI1,ROI1_GLDM-Varianza-Valor,0.98
Model 5 — ROI1,ROI1_Primerorden-Mediana-Valor,0.97
Model 5 — ROI1,ROI1_Primerorden-Asimetría-Valor,0.96
Model 5 — ROI1,ROI1_NGTDM-Complejidad-Valor,0.94
Model 5 — ROI1,ROI1_Primerorden-Rango-Valor,0.83
Model 5 — ROI1,ROI1_GLCM-Prominenciadelgrupo-Valor,0.83
Model 5 — ROI1,ROI1_Primerorden-Varianza-Valor,0.79
Model 5 — ROI1,ROI1_GLCM-Sombradelgrupo-Valor,0.68
Model 5 — ROI1,ROI1_Primerorden-Curtosis-Valor,0.61
Model 5 — ROI1,ROI1_GLSZM-Nouniformidaddelosnivelesdegrisnormalizada-Valor,0.6
Model 5 — ROI1,ROI1_GLSZM-Nouniformidaddelosnivelesdegris-Valor,0.4
Model 6 — ROI2,ROI2_Primerorden-Curtosis-Valor,1.0
Model 6 — ROI2,ROI2_GLCM-Mediaconjunta-Valor,1.0
Model 6 — ROI2,ROI2_GLCM-Sombradelgrupo-Valor,1.0
Model 6 — ROI2,ROI2_GLCM-Diferenciainversanormalizada-Valor,1.0
Model 6 — ROI2,ROI2_GLCM-Varianzainversa-Valor,1.0
Model 6 — ROI2,ROI2_GLSZM-Varianzadelosnivelesdegris-Valor,1.0
Model 6 — ROI2,ROI2_GLDM-Énfasisdealtadependenciadelosnivelesdegrisaltos-Valor,1.0
Model 6 — ROI2,ROI2_NGTDM-Complejidad-Valor,1.0
Model 6 — ROI2,ROI2_Primerorden-Mínimo-Valor,0.99
Model 6 — ROI2,ROI2_GLSZM-Varianza-Valor,0.99
Model 6 — ROI2,ROI2_GLDM-Varianza-Valor,0.99
Model 6 — ROI2,ROI2_NGTDM-Contraste-Valor,0.99
Model 6 — ROI2,ROI2_Primerorden-Rangointercuartil-Valor,0.97
Model 6 — ROI2,ROI2_Primerorden-Asimetría-Valor,0.96
Model 6 — ROI2,ROI2_NGTDM-Fuerza-Valor,0.96
Model 7 — Dual-ROI,ROI1_Primerorden-Percentil10-Valor,1.0
Model 7 — Dual-ROI,ROI1_GLRLM-Varianzadelosnivelesdegris-Valor,1.0
Model 7 — Dual-ROI,ROI1_GLSZM-Nouniformidaddelazona-Valor,1.0
Model 7 — Dual-ROI,ROI1_GLSZM-Énfasisdeláreapequeñadenivelesdegrisaltos-Valor,1.0
Model 7 — Dual-ROI,ROI1_GLDM-Varianza-Valor,1.0
Model 7 — Dual-ROI,ROI2_Primerorden-Curtosis-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLCM-Mediaconjunta-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLCM-Sombradelgrupo-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLCM-Diferenciainversanormalizada-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLCM-Varianzainversa-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLSZM-Varianzadelosnivelesdegris-Valor,1.0
Model 7 — Dual-ROI,ROI2_GLDM-Énfasisdealtadependenciadelosnivelesdegrisaltos-Valor,1.0
Model 7 — Dual-ROI,ROI2_NGTDM-Complejidad-Valor,1.0
Model 7 — Dual-ROI,ROI1_Primerorden-Asimetría-Valor,0.99
Model 7 — Dual-ROI,ROI2_Primerorden-Mínimo-Valor,0.99
