Level of lesion,Diagnosis,n
Muscle (myopathic),Diagnosis not retrievable,2
Muscle (myopathic),Distonía-discinesia y distrofia muscular autosomica recesiva por mutacion en homozigosis del gen TRAPPC11,1
Muscle (myopathic),Distrofia Miotónica tipo 1 de Steiner.55 repeticiones en la region 3ÚTR gen DMPK.,1
Muscle (myopathic),Distrofia facioescápulohumeral. Autosomico dominante.,1
Muscle (myopathic),"Distrofia muscular Duchenne-Becker, intermedia, por deleccion exones 8-22.",1
Muscle (myopathic),Distrofia muscular de Duchenne por deleccion exones 49-52,1
Muscle (myopathic),Distrofia muscular de Emery-Dreifuss tipo I,1
Muscle (myopathic),Distrofia muscular de Emery-Dreifuss. Mutacion LAMNA autosómica dominante. dE NOVO,1
Muscle (myopathic),HiperCkemia asintomatica por calpainopatia. Mutacion gen CAPN3.,1
Muscle (myopathic),Miastenia congenita tipo 4a. Gen CHRNE,1
Muscle (myopathic),Miopatia congenita debida a mutacion hemizigosis MTM1 (desproporción de fibras),1
Muscle (myopathic),"Miopatía congénita debida a mutación del gen RYR1 dominante, de novo.",1
Muscle (myopathic),"Miopatía congénita leve, por mutación del gen RYR1. De novo.",1
Muscle (myopathic),Mutacion gen ANO5. HiperCKemia asintomatica y distrofias muscualres.,1
Anterior horn cell (SMA),"Spinal muscular atrophy, type I",3
Anterior horn cell (SMA),"Spinal muscular atrophy, type II",4
Anterior horn cell (SMA),"Spinal muscular atrophy, type III",3
Peripheral nerve,CMT TIPO II,1
Peripheral nerve,"CMT mixto desmielinizante/axonal, HAD muta MPZ (CMT 1B)",1
Peripheral nerve,CMT tipo 1A.,1
Peripheral nerve,Probable CMT2 Axonal. Mutacion en gen IGHMBP2.,1
Peripheral nerve,polineuropatia cronica desmielinizante,1
Central (upper motor neuron),Aciduria glutarica tipo I,1
Central (upper motor neuron),"DIPARESIA ESPASRICA, PARAPLEJIA ESPASTICA FAMILIAR",1
Central (upper motor neuron),Disgenesia de tronco cerebral.,1
Central (upper motor neuron),Hidrocefalia posthemorrágica. Portador de VDVP.,1
Central (upper motor neuron),PARAPARESIA ESPASTICA FAMILIAR. HAD.,1
Central (upper motor neuron),PCI Mutacion Tubulina,1
Central (upper motor neuron),PCI por prematuridad GMFCS II. Leucomalacia periventricular.,2
Central (upper motor neuron),Paraplejia espastica familiar de etiologia genetica no filiada.,1
